+-----+---------------+--------+---------+-----------+--------------+-------------+-------------+-------------+----------+----------+
|  nr |      name     | symbol |   mass  |  density  | calc density | difference1 | emp density | difference2 | distance |  zetta   |
|  43 |   technetium  |   Tc   |   98.0  |    11.5   |    6.3393    |    5.1607   |   15.7905   |    4.2905   |  3e-08   | 70.6663  |
|  44 |   ruthenium   |   Ru   |  101.07 |   12.37   |    7.1045    |    5.2655   |   18.2374   |    5.8674   |  3e-08   | 73.7035  |
|  45 |    rhodium    |   Rh   | 102.906 |   12.41   |    7.879     |    4.531    |    16.581   |    4.171    |  3e-08   | 72.6226  |
|  46 |   palladium   |   Pd   |  106.42 |   12.02   |    8.7404    |    3.2796   |   15.3748   |    3.3548   |  3e-08   | 68.0177  |
|  47 |     silver    |   Ag   | 107.868 |   10.501  |    9.5194    |    0.9816   |   10.4401   |    0.0609   |  3e-08   | 58.6245  |
|  48 |    cadmium    |   Cd   | 112.411 |    8.69   |   10.6783    |    1.9883   |    11.967   |    3.277    |  4e-08   | 46.5534  |
|  49 |     indium    |   In   | 114.818 |    7.31   |   11.9897    |    4.6797   |   12.2232   |    4.9132   |  4e-08   | 38.3397  |
|  50 |      tin      |   Sn   |  118.71 |   7.287   |   15.4367    |    8.1497   |   15.4367   |    8.1497   |  4e-08   |  36.966  |
|  51 |    antimony   |   Sb   |  121.76 |   6.685   |   20.5173    |   13.8323   |   15.8333   |    9.1483   |  4e-08   | 33.0626  |
|  52 |   tellurium   |   Te   |  127.6  |   6.232   |   27.1835    |   20.9515   |   18.4347   |   12.2027   |  4e-08   | 29.4115  |
|  53 |     iodine    |   I    | 126.904 |    4.93   |    33.079    |    28.149   |   18.3342   |   13.4042   |  5e-08   | 23.3944  |
|  54 |     xenon     |   Xe   | 131.293 |  0.005887 |   41.3182    |   41.3123   |      0      |    0.0059   | 4.4e-07  |  0.027   |
|  55 |    caesium    |   Cs   | 132.905 |   1.873   |    1.991     |    0.118    |    2.9977   |    1.1247   |  7e-08   |  8.4867  |
|  56 |     barium    |   Ba   | 137.327 |   3.594   |    3.3617    |    0.2323   |    5.4779   |    1.8839   |  5e-08   | 15.7602  |
|  57 |   lanthanum   |   La   | 138.905 |   6.145   |    7.4265    |    1.2815   |    7.4265   |    1.2815   |  4e-08   | 26.6406  |
|  58 |     cerium    |   Ce   | 140.116 |    6.77   |   14.0827    |    7.3127   |    8.7729   |    2.0029   |  4e-08   | 29.0966  |
|  59 |  praseodymium |   Pr   | 140.908 |   6.773   |    3.7069    |    3.0661   |    8.8225   |    2.0495   |  4e-08   | 28.9458  |
|  60 |   neodymium   |   Nd   | 144.242 |   7.007   |    6.5412    |    0.4658   |    9.0312   |    2.0242   |  4e-08   | 29.2537  |
|  61 |   promethium  |   Pm   |  145.0  |    7.26   |    6.6723    |    0.5877   |    9.0787   |    1.8187   |  4e-08   | 30.1515  |
|  62 |    samarium   |   Sm   |  150.36 |    7.52   |    4.4215    |    3.0985   |    9.4143   |    1.8943   |  4e-08   |  30.118  |
|  63 |    europium   |   Eu   | 151.964 |   5.243   |    4.8874    |    0.3556   |    9.5147   |    4.2717   |  5e-08   | 20.7769  |
|  64 |   gadolinium  |   Gd   |  157.25 |   7.895   |    4.9283    |    2.9667   |   10.6892   |    2.7942   |  4e-08   | 30.2345  |
|  65 |    terbium    |   Tb   | 158.925 |   8.229   |    5.5311    |    2.6979   |   11.7557   |    3.5267   |  4e-08   | 31.1814  |
|  66 |   dysprosium  |   Dy   |  162.5  |    8.55   |    5.4352    |    3.1148   |   12.0201   |    3.4701   |  4e-08   |  31.685  |
|  67 |    holmium    |   Ho   |  164.93 |   8.795   |    5.6643    |    3.1307   |   12.1999   |    3.4049   |  4e-08   | 32.1127  |
|  68 |     erbium    |   Er   | 167.259 |   9.066   |    5.7443    |    3.3217   |   12.3722   |    3.3062   |  4e-08   | 32.6413  |
|  69 |    thulium    |   Tm   | 168.934 |   9.321   |    6.1211    |    3.1999   |   12.4961   |    3.1751   |  4e-08   | 33.2266  |
|  70 |   ytterbium   |   Yb   | 173.054 |   6.965   |    6.2704    |    0.6946   |   12.8008   |    5.8358   |  5e-08   | 24.2371  |
|  71 |    lutetium   |   Lu   | 174.967 |    9.84   |    6.7881    |    3.0519   |   12.9423   |    3.1023   |  4e-08   | 33.8672  |
|  72 |    hafnium    |   Hf   |  178.49 |   13.31   |    7.8631    |    5.4469   |   19.0016   |    5.6916   |  4e-08   | 44.9061  |
|  73 |    tantalum   |   Ta   | 180.948 |   16.654  |    8.9667    |    7.6873   |   23.5299   |    6.8759   |  3e-08   |  55.425  |
|  74 |    tungsten   |   W    |  183.84 |   19.25   |   10.1377    |    9.1123   |   29.6217   |   10.3717   |  3e-08   | 63.0567  |
|  75 |    rhenium    |   Re   | 186.207 |   21.02   |   11.1095    |    9.9105   |    30.003   |    8.983    |  3e-08   | 67.9794  |
|  76 |     osmium    |   Os   |  190.23 |   22.61   |   11.9106    |   10.6994   |   34.3257   |   11.7157   |  3e-08   | 71.5752  |
|  77 |    iridium    |   Ir   | 192.217 |   22.65   |   13.0661    |    9.5839   |   30.9714   |    8.3214   |  3e-08   | 70.9606  |
|  78 |    platinum   |   Pt   | 195.084 |   21.46   |   13.9467    |    7.5133   |   31.4334   |    9.9734   |  3e-08   | 66.2443  |
|  79 |      gold     |   Au   | 196.967 |   19.282  |   14.8223    |    4.4597   |   31.7368   |   12.4548   |  3e-08   | 58.9521  |
|  80 |    mercury    |   Hg   |  200.59 |  13.5336  |   15.9035    |    2.3699   |   23.5617   |   10.0281   |  4e-08   | 40.6298  |
|  81 |    thallium   |   Tl   | 204.383 |   11.85   |   21.3423    |    9.4923   |   11.8128   |    0.0372   |  4e-08   | 34.9152  |
|  82 |      lead     |   Pb   |  207.2  |   11.342  |   22.4905    |   11.1485   |   14.0845   |    2.7425   |  4e-08   | 32.9641  |
|  83 |    bismuth    |   Bi   |  208.98 |   9.807   |   28.3313    |   18.5243   |   20.2263   |   10.4193   |  4e-08   |  28.26   |
|  84 |    polonium   |   Po   |  210.0  |    9.32   |   33.8367    |   24.5167   |   12.1375   |    2.8175   |  4e-08   | 26.7262  |
|  85 |    astatine   |   At   |  210.0  |    7.0    |   40.6423    |   33.6423   |      0      |     7.0     |  5e-08   | 20.0733  |
|  86 |     radon     |   Rn   |  222.0  |  0.00973  |   50.9307    |    50.921   |      0      |    0.0097   | 4.5e-07  |  0.0264  |
|  87 |    francium   |   Fr   |  223.0  |    1.87   |      0       |     1.87    |      0      |     1.87    |  8e-08   |  5.0498  |
|  88 |     radium    |   Ra   |  226.0  |    5.5    |      0       |     5.5     |    9.015    |    3.515    |  5e-08   | 14.6553  |
|  89 |    actinium   |   Ac   |  227.0  |   10.07   |      0       |    10.07    |   12.1365   |    2.0665   |  4e-08   | 26.7143  |
|  90 |    thorium    |   Th   | 232.038 |   11.72   |      0       |    11.72    |   15.7729   |    4.0529   |  4e-08   | 30.4165  |
|  91 |  protactinium |   Pa   | 231.036 |   15.37   |      0       |    15.37    |   15.7048   |    0.3348   |  4e-08   | 40.0622  |
|  92 |    uranium    |   U    | 238.029 |   18.95   |      0       |    18.95    |    17.607   |    1.343    |  4e-08   | 47.9424  |
|  93 |   neptunium   |   Np   |  237.0  |   20.45   |      0       |    20.45    |   17.5309   |    2.9191   |  4e-08   |  51.962  |
|  94 |   plutonium   |   Pu   |  244.0  |   19.816  |      0       |    19.816   |   18.0487   |    1.7673   |  4e-08   | 48.9065  |
|  95 |   americium   |   Am   |  243.0  |   13.69   |      0       |    13.69    |   17.9747   |    4.2847   |  4e-08   | 33.9264  |
|  96 |     curium    |   Cm   |  247.0  |   13.51   |      0       |    13.51    |      0      |    13.51    |  4e-08   | 32.9381  |
|  97 |   berkelium   |   Bk   |  247.0  |   14.79   |      0       |    14.79    |      0      |    14.79    |  4e-08   | 36.0589  |
|  98 |  californium  |   Cf   |  251.0  |    15.1   |      0       |     15.1    |      0      |     15.1    |  4e-08   |  36.228  |
|  99 |  einsteinium  |   Es   |  252.0  |    13.5   |      0       |     13.5    |      0      |     13.5    |  4e-08   | 32.2607  |
| 100 |    fermium    |   Fm   |  257.0  |    0.0    |      0       |     0.0     |      0      |     0.0     |   0.0    |   0.0    |
| 101 |  mendelevium  |   Md   |  258.0  |    0.0    |      0       |     0.0     |      0      |     0.0     |   0.0    |   0.0    |
| 102 |    nobelium   |   No   |  259.0  |    0.0    |      0       |     0.0     |      0      |     0.0     |   0.0    |   0.0    |
| 103 |   lawrencium  |   Lr   |  262.0  |    9.84   |      0       |     9.84    |      0      |     9.84    |  5e-08   |  22.617  |
| 104 | rutherfordium |   Rf   |  261.0  |    18.1   |      0       |     18.1    |      0      |     18.1    |  4e-08   | 41.7618  |
| 105 |    dubnium    |   Db   |  262.0  |    39.0   |      0       |     39.0    |      0      |     39.0    |  3e-08   | 89.6405  |
| 106 |   seaborgium  |   Sg   |  266.0  |    35.0   |      0       |     35.0    |      0      |     35.0    |  3e-08   | 79.2368  |
| 107 |    bohrium    |   Bh   |  264.0  |    37.0   |      0       |     37.0    |      0      |     37.0    |  3e-08   | 84.3992  |
| 108 |    hassium    |   Hs   |  267.0  |    41.0   |      0       |     41.0    |      0      |     41.0    |  3e-08   | 92.4727  |
| 109 |   meitnerium  |   Mt   |  268.0  |    35.0   |      0       |     35.0    |      0      |     35.0    |  3e-08   | 78.6455  |
| 110 |  darmstadtium |   Ds   |  271.0  |   21.46   |      0       |    21.46    |      0      |    21.46    |  4e-08   | 47.6871  |
| 111 |  roentgenium  |   Rg   |  272.0  |   19.282  |      0       |    19.282   |      0      |    19.282   |  4e-08   | 42.6898  |
| 112 |  copernicium  |   Cn   |  285.0  |  13.5336  |      0       |   13.5336   |      0      |   13.5336   |  4e-08   | 28.5963  |
| 113 |    nihonium   |   Nh   |  284.0  |   11.85   |      0       |    11.85    |      0      |    11.85    |  5e-08   |  25.127  |
| 114 |   flerovium   |   Fl   |  289.0  |   11.342  |      0       |    11.342   |      0      |    11.342   |  5e-08   | 23.6337  |
| 115 |   moscovium   |   Mc   |  288.0  |   9.807   |      0       |    9.807    |      0      |    9.807    |  5e-08   | 20.5062  |
| 116 |  livermorium  |   Lv   |  292.0  |    9.32   |      0       |     9.32    |      0      |     9.32    |  5e-08   | 19.2209  |
| 117 |   tennessine  |   Ts   |  295.0  |    0.0    |      0       |     0.0     |      0      |     0.0     |   0.0    |   0.0    |
| 118 |   oganesson   |   Og   |  294.0  |    0.0    |      0       |     0.0     |      0      |     0.0     |   0.0    |   0.0    |
+-----+---------------+--------+---------+-----------+--------------+-------------+-------------+-------------+----------+----------+
